项目名称,相关介绍,历史渊源,传承人物,status
达古达楞格莱标,,,,Failed
遮帕麻和遮咪麻,,,,Failed
邵原神话群,,,,Failed
都玛简收,"都玛简收，云南省红河哈尼族彝族自治州绿春县地方传统民间文学，国家级非物质文化遗产之一。

《都玛简收》描述的是一个美丽的哈尼族女子简收出生、成长、谈情、逼婚、逃婚到流浪，最后回归天界的悲剧神话；通过对主人公生活经历的讲述，同时传播了哈尼族人生产生活知识以及崇拜自然、亲和自然的思想观念。《都玛简收》给予人广阔的艺术想象空间，带给人们丰富、神奇的艺术享受。这个神话以歌谣的形式在民间流传，具有较强感染力。

2013年11月23日，都玛简收经云南省人民政府批准列入第五批云南省省级非物质文化遗产项目名录；2021年5月24日，都玛简收经国务院批准被列入第五批国家级非物质文化遗产代表性项目名录，编号为Ⅰ-167。","据《哈尼简史》中载“蛮治山田，殊为精好”这样一句。哈尼族开山凿田和管理及其征服自然进行农耕社会生活中都有离不开的英雄人物，都玛简收就是在这样的社会条件或文化背景下应运而生的英雄人物和英雄形象。

哈尼族人民战乱南迁后社会基本处于稳定，摆在面前最重要的问题是安家繁衍生息的问题，这就需要具有母性的女性来调理家庭和社会关系，也就必然地选择了女性英雄。都玛简收是这样的思想和社会环境下选择或产生的。",,Success
都镇湾故事,,,,Failed
鄂温克族民间故事,,,,Failed
酉阳古歌,"酉阳古歌，重庆市酉阳土家族苗族自治县民间文学，国家级非物质文化遗产之一。

酉阳古歌是巫傩师在祭祖崇拜，祈求丰产和驱邪还愿活动中吟诵的诗文，流传于地处湘、鄂、渝、黔交界处的重庆酉阳土家族苗族自治县，是南方古文化在武陵山区延续和衍变的产物。古歌风格诡谲，源头可追溯到上古时代的巫歌，是劳动人民长期积累的自然知识和社会知识的总汇。 酉阳古歌的内容分为神异类和生活类，口耳相传，文辞固定，较少即兴创作，保存了大量的原始信息和艺术因子。诗文有双句押尾韵的自由体和两句一节、四句一节句尾押韵的格律体，多为四言七言句式，穿插连接，有高腔与平腔两种唱腔，颇有韵味。

2011年5月23日，酉阳古歌经中华人民共和国国务院批准列入第三批国家级非物质文化遗产名录，项目编号Ⅰ-124。","酉阳古歌是“梯玛”（土家族巫师，是沟通阴阳两界、人文社会世界与虚拟鬼神世界的使者）在祭祖崇拜，祈求丰产和驱邪还愿活动中吟诵或唱诵的文辞，是劳动人民长期积累的自然知识和社会知识的总汇。地处湘鄂渝黔边区，酉阳受道教影响较早。东汉以后，道教与当地巫师法师活动不断融合，道教主要神灵也成了巫师法事活动中所请的主神，巫歌内容逐渐发生变化。 

明清至民国，酉阳社会生活较为稳定，经济发展平稳，巫傩活动频繁，基本上一村一坛，念诵吟唱诗的土家族、苗族和汉族巫傩师及其协助人员比较庞大。",,Success
钱王传说,"钱王传说，是以地吴越国王钱镠生平事迹衍化而成的方民间传说。临安是钱王故里，钱王去世后，其传说故事千百年来在临安坊间广为流传、家喻户晓越国王钱镠生平事迹衍化而成的民间传说。

2011年05月23日，浙江省临安市申报板头曲经国务院批准列入第三批国家级非物质文化遗产名录。","钱王，姓钱名鏐（liu），临安人氏。少年时为乡里无赖，以贩私盐为业。唐末，追随唐将董昌，任都指挥使，参与镇压黄巢起义军。公元893年任镇海军节度使。公元896年击败董昌，占据苏南和两浙（浙东、浙西）一带，形成割据势力。公元907年5月，受后梁封为吴越王，立国，定都钱塘，用唐哀帝年号为“天佑”，第二年建年号为“天宝”。

钱王传说，是以吴钱王传说，是以吴越国王钱镠生平事迹衍化而成的民间传说。临安是钱王故里，钱王去世后，其传说故事千百年来在临安坊间广为流传、家喻户晓，宋元笔记中，宋文莹《湘山野录》、潜说友《咸淳临安志》、刘一清《钱塘遗事》等地方志中均有记载，并扩展到美国、日本、韩国、新加坡等国。 钱王传说源远流长、内容丰富，既有钱王生平、家世传说，也有艰苦创业、建功立业传说，更有除暴安良、关心百姓疾苦传说。近几年来，钱王传说大量被创作成戏剧、电影、电视剧等，这些文学艺术在民众中产生了很大影响，又在一定程度上推动了口头故事的传播。",,Success
锡伯族民间故事,,,,Failed
童谣（闽南童谣）,,,,Failed
防风传说,,,,Failed
阿凡提故事,阿凡提故事是第四批国家级非物质文化遗产代表性项目。,"保护措施

2014年11月，""阿凡提故事""被文化部确定为第四批国家级非物质文化遗产代表性项目名录。 

2019年11月，《国家级非物质文化遗产代表性项目保护单位名单》公布，喀什地区文化馆获得“阿凡提故事”项目保护单位资格。 

2023年10月31日，《国家级非物质文化遗产代表性项目保护单位名单》公布，阿凡提故事项目保护单位喀什地区文化馆评估合格。",,Success
阿尼玛卿雪山传说,,,,Failed
阿细先基,阿细先基是彝族支系阿细人的史诗，流传在云南弥勒市西山一带的阿细人民口头上。,用固定的先基调传唱。光未然曾于1943～1944年间，进行过整理，并出版，书名《阿细的先鸡（基）》,,Success
阿诗玛,"阿诗玛，云南省石林彝族自治县地方传统民间文学，国家级非物质文化遗产之一。

阿诗玛使用口传诗体语言，讲述或演唱阿诗玛的故事。阿诗玛不屈不挠地同强权势力作斗争的故事，揭示了光明终将代替黑暗、善美终将代替丑恶、自由终将代替压迫与禁锢的人类理想，反映了彝族撒尼人“断得弯不得”的民族性格和民族精神。

2006年5月20日，阿诗玛经中华人民共和国国务院批准列入第一批国家级非物质文化遗产名录，遗产编号：Ⅰ—28。","阿诗玛的原形态是用撒尼彝语创作的，是撒尼人民经过千锤百炼而形成的集体智慧结晶，具有广泛的群众性。它主要流传于云南省石林彝族自治县彝族撒尼人聚居区，分为南北两个大同小异的流派。

《阿诗玛》源远流长。关于《阿诗玛》起源时间，学界看法不一，有研究者认为萌发于刀耕火种的原始社会时期，形成于封建社会时期，跨越了若千人类社会发展历程，用撒尼彝语创作并以口耳相传的方式一代又一代地流传至今。由于千百年来都用撒尼语传播，直到近现代，外界才知道《阿诗玛》。 

《阿诗玛》的传播

《阿诗玛》传播经历了口头、书面和现代传播媒介三个阶段。口头传播是以口耳相传的方式进行，发生在面对面的熟人社会，其传播一般出现在特定区域内，传播者和受众遵循同样的传统习惯，传播同一价值观念，可以说，口头传播的《阿诗玛》渗透在撒尼人的社会生活之中。《阿诗玛》被写成文字之后，开启了书面有文字传播形式，人们不仅可以听，而且可以读。

自20世纪50年代初开始，《阿诗玛》以汉语言文字作为主要载体，辅以彝文、英文、日文、俄文等多种文字，以印刷物的形式先后出版发行过多个不同版本。书面传承以印刷物方式拓展了人们交流的形式和内容。通过受众主动地阅读、理解和接受，书面传播阶段的《阿诗玛》成为民族共享的优秀文化。1953年，云南省军区剧团的金素秋和吴枫两位艺术家把《阿诗玛》搬上舞台。随后又有众多艺术家将《阿诗玛》改编成舞剧、撒尼剧等艺术样式。之后《阿诗玛》作为中国第一部彩色宽银幕音乐故事影片上映。广播、电视、电影、网络等现代传播媒介使每个接受者均可随机地选择和接受“阿诗玛”。《阿诗玛》在海外传播发生在19世纪末期，1898年法国传教士保罗·维亚尔在巴黎天主教外方总部的内刊上发表了一篇题为《撒尼保保》的文章，其中引用了一大段撒尼诗，即《阿诗玛》。

20世纪50年代《阿诗玛》在国内出版，先后被译为英、日、俄、法、德、泰、捷克等30余种文字，在世界范围产生深远影响。1957年日本诗人宇田礼，原名阿部俊明，将《阿诗玛》翻译到日本，随后出现了三个翻译版本的《阿诗玛》，这些版本在日本产生了广泛影响，至今日文版本的《阿诗玛》仍以多种形态传承。

1961年，日本著名编剧家木下顺二将《阿诗玛》改编为广播剧剧本。他编写的广播剧《阿诗玛》是以1957年未来社出版的宇田礼译本为蓝本，保留了译本的1/3的内容，共编为“阿诗玛17岁时”“阿诗玛被抢”“哥哥阿黑去追赶”“比赛”“射虎”“归途”“回声”等七章，广播剧《阿诗玛》于1961年2月23日在日本东京文化放送广播电台（NCB）的“现代剧场”播送。作为舞台剧的《阿诗玛》，1996年7月由日本人民剧团首次上演，标题为“阿诗玛——爱与勇气的幻想曲”，由森井睦编剧并导演，采用木下顺二的广播剧为蓝本。这些都说明了《阿诗玛》在海外的深厚影响，《阿诗玛》的传播在海外呈现出多样化的传承和传播形式。","毕华玉，男，彝族，1952年生，2013年3月卒，云南省石林彝族自治县人。2007年6月，毕华玉入选为第一批国家级非物质文化遗产项目代表性传承人，云南省石林彝族自治县申报。 

王玉芳，女，彝族，1941年生，云南省石林彝族自治县长湖镇宜政村人。2007年6月，王玉芳入选为第一批国家级非物质文化遗产项目代表性传承人，云南省石林彝族自治县申报。她能演唱不同版本和不同演唱形式的弊族撒尼语口传叙事长诗阿诗玛，唱词曲调质朴感人，声情并茂，具有浓烈的乡土气息，被彝族撒尼人誉为活在民间的“阿诗玛”。",Success
陈三五娘传说,,,,Failed
谚语（陕北民谚）,,,,Failed
陶克陶胡,陶克陶胡（1864年5月13日－1922年4月），又译为“陶克陶”，孛儿只斤氏，蒙古族，哲里木盟郭尔罗斯前旗人，内札萨克蒙古下级贵族出身，清末蒙古族反清抗垦起义的主要领袖之一，有“刚毅英雄”之称。民间艺人根据其真人真事创编出了同名说唱体民间文学，2011年入选中国第三批国家级非物质文化遗产目录。,"陶克陶胡生于哲里木盟郭尔罗斯前旗的一个毫克台吉（末等贵族，俗称穷台吉）之家。他的直系祖先是成吉思汗的二弟哈布图·哈萨尔，父亲名为恩和毕力格，母亲叫做巴应嘎，全家以务农为生。  

陶克陶胡从小聪明伶俐胆识过人，有初生牛犊不怕虎的志气。在他十八岁时，塔虎城努图克以村民联防为目的成立兵会组织，群众公推陶克陶胡为兵会首领。在担任兵会首领后，陶克陶胡率领会兵，除人间之不平，救乡亲于水火，在乡里做了许多好事，民众都尊称他为“陶老爷”。",,Success
陶朱公传说,,,,Failed
雷州歌,,,,Failed
青林寺谜语,,,,Failed
宝卷（靖江宝卷）,"宝卷（靖江宝卷），江苏省靖江市民间文学，国家级非物质文化遗产之一。

靖江宝卷是由唐代变文和宋代说经演化而成的一种俗讲文本，明清以来包容进了大量的民间传说、民歌民谣和社会风俗内容，成为亦圣亦俗、亦庄亦谐、叙事为主、韵散结合的民间文学文体。

2008年6月7日，宝卷（靖江宝卷）经中华人民共和国国务院批准列入第二批国家级非物质文化遗产名录，遗产编号Ⅰ-13。","靖江位于江苏中部南端，东南西三面环江，与张家港、江阴市隔江相望。为长江冲积平原。最初它是三国·吴赤马年间在江中涌出的沙洲，境内以旧城南郊的横港为界，以北称老岸，南面沿江地区称沙上。老岸地区讲吴语方言，称老岸话，是苏中南端的吴语方言孤岛。从历史地理文化的发展来说，靖江属吴文化区，靖江宝卷应该与苏南吴方言区广泛流行的宣卷有密切关系。自清代传入至今，已近300年历史。

靖江讲经宝卷旧有文本100余种，现存世各类印本，抄本仍有60多种，加上留存民间艺人头的30余种，共约90余种。其中圣卷20多种，草卷60多种，科仪卷10余种。以内容而言，已整理出版的《中国靖江宝卷》，全书共收录各类宝卷近60部，260余万字；以形式而言，民间仍保存原生态“做会""“佛头”等基本形式；以传承而言，已追忆到清光绪年间五六位名师，并列出从清末至今已届五代共154人的14个传承谱系。",张东海，男，汉族，第二批国家级非物质文化遗产项目宝卷（靖江宝卷）代表性传承人。,Success
骆驼泉传说,"骆驼泉传说，青海省海东市循化撒拉族自治县民间文学，国家级非物质文化遗产之一。

2014年11月11日，骆驼泉传说经中华人民共和国国务院批准列入第四批国家级非物质文化遗产名录，项目编号：Ⅰ-143。","保护措施

2019年11月，《国家级非物质文化遗产代表性项目保护单位名单》公布，循化撒拉族自治县文化馆获得“骆驼泉传说”项目保护单位资格。 

2023年10月，《国家级非物质文化遗产代表性项目保护单位名单》公布，《骆驼泉传说》项目评估合格，循化撒拉族自治县文化馆获得该项目保护单位资格。",,Success
鬼谷子传说,,,,Failed
鲁班传说,,,,Failed
麒麟传说,"麒麟传说，主要流传在山东省巨野县及其周边地区的传统民间传说。

麒麟传说扎根于山东地方民间，富有地方特色和民族特色的文学作品，充满了劳动人民朴素的情感和丰富的想像力，具有珍贵的民间文学价值和人类学、民族学、民俗学研究素材的特殊价值。

2008年6月7日，麒麟传说经国务院批准列入第二批国家级非物质文化遗产名录。",麒麟，是古代传说中的动物，形状像鹿，独角，身上长鳞，尾像牛。与凤、龟、龙共称为“四灵”，并居四灵之首位。古书上说他：“音中钟吕，行中规矩，游必择地，不践生草，不群居，不侣行，不罹罗网。”是祥瑞神兽。在中国，人们认为麒麟出现是大吉大利的事，很多祥瑞的事都和麒麟联系在一起。如子孙昌盛称“麟趾”，稀罕可贵的人才或事物称为“麟角”，品格高尚的人称为“麟凤”，“麟阁”表示卓越的功勋和最高的荣誉。,,Success
黄初平（黄大仙）传说,,,,Failed
黄鹤楼传说,,,,Failed
黑暗传,,,,Failed
黑白战争,,,,Failed
木版水印技艺,,,,Failed
一得阁墨汁制作技艺,"一得阁墨汁制作技艺，北京市西城区传统技艺，国家级非物质文化遗产之一。

清同治年间，谢崧岱因在考试中饱受研墨之苦，便开始探寻制墨之理，探索变革之路。他在北京琉璃厂经屡试屡误，屡误屡悟，终于在1865年研发出可以与墨锭媲美的墨汁，改写了几千年来人们墨块研写的习惯。墨汁出炉后，谢崧岱亲自到考场推销，大受考生欢迎，随后便创立了一家前店后厂的商号，这就是一得阁。

2014年11月11日，一得阁墨汁制作技艺经中华人民共和国国务院批准列入第四批国家级非物质文化遗产名录，项目编号：Ⅷ-225。2022年3月，一得阁墨汁制作技艺（西城区）入选北京市传统工艺振兴目录（2021年）名单。","谢崧岱，湖南湘乡人，清道光二十九年（1849）出生于一个文人世家，其父谢宝璆，曾任左宗棠府内幕僚。谢崧岱少年即由湖南进京赴试，清光绪六年（1880）入读国子监。他基于自己屡次科考的经历，深知时间对于考生的宝贵，遂研制了蘸墨即书的墨汁。原本自用的小发明却引发考生哄抢，与现在考生们经常使用的“考试专用笔”等文具类似，墨汁可以说就是清代科举考试考生们的“考试神器”。由此，谢崧岱看到了商机，不断从古书上汲取关于“取烟”“制胶”“出墨”等制墨技术的智慧，最终于清光绪八年（1882）与友人共同研制出第一瓶墨汁。此后，谢崧岱仍不断钻研制墨技术，更由于其本人无嗣，为防止制墨技术后继无人，于清光绪十年（1884）著成《南学制墨札记》一书，将其与友人共同创造的制墨技艺总结为“取烟、研烟、和胶、去渣、收瓶、入盒、入麝、成条”的“制墨八法”，并公之于众，以供后人研究、传承。

书写效果接近，书写效率提升，墨锭替代性产品的诞生也是书写技术的变革，墨汁的受众范围和影响力逐步扩展，销路逐步打开，谢崧岱在京城文人聚集区琉璃厂附近创立了第一家墨汁店。他将自创的墨汁技术概括为“一艺足供天下用，得法多自古人书”两句话，并取每句首字将店铺命名为“一得阁”。谢崧岱于去世前一年的清光绪十四年（1888）亲笔写下的“一得阁”匾额，保存在位于北京市南新华街的一得阁美术馆中。

徐洁滨，河北省深县（今深州市）人，一得阁创始人谢崧岱无嗣，遂将墨汁店传与徒弟，徐洁滨成为一得阁墨汁制作技艺第一代传人。徐洁滨虽是学徒出身，但由于其头脑精明，善于经营，不仅将一得阁墨汁制作技艺不断完善，还申请注册“双羊湖”等商标，不仅保护了原创知识产权，还具有广告效应。

一得阁墨汁店虽是小本经营、手工作坊，却从原材料起就严格把关。一得阁自己烧油、制烟，按不同生产原料划分产品等级，即使是手工作坊也务必保证纯正、可靠。

除了人工制烟，巧用胶的自然属性以及新老胶合理配比也是一得阁墨汁的重要法宝，烟与胶的配比是把握墨汁质量的关键，也是只有掌柜徐洁滨和他的儿子徐新孔才能掌握的秘方。动物骨胶具有黏结性好、强度高、价格低廉、着纸不湮的特点，广泛应用于墨汁生产中。徐洁滨利用骨胶的自然特性，和北京冬夏交替的自然环境，将骨胶整袋存放三年后再使用。冬练三九，夏练三伏，骨胶在麻袋里发生撤热反应，释放多余的黏性，防止墨汁丧失扩散力。用紫铜缸存放熔化的液体胶，每个缸上标记年号，新老胶的配制比例都在老掌柜的脑子里。用胶比例随温度湿度变化有所不同，夏天胶浓，冬天胶淡，一年四季采用四种配方。

一得阁墨汁店前店后厂，自产自销。为适应书法、绘画的不同使用需求，不断开发不同等级的新产品，油烟墨汁和松烟墨汁均有生产。油烟墨汁的品种有：云头艳墨汁、兰烟墨汁、亮光墨汁、桐烟墨汁、大单童和双童墨汁、油烟墨汁等。松烟墨汁的品种有：阿胶松烟、五老松烟、小松烟等。八宝印泥也是一得阁墨汁店的特色产品之一，原料选用自清代保存、晾晒的蓖麻油提炼而成，成为搭配墨汁使用的佳品。

经过徐洁滨父子几十年的经营，一得阁墨汁店不仅扩建厂房、设备，更于1944 年先后在天津、郑州等地开设分厂，在上海等地开设门市部，不断壮大营销渠道，扩大市场份额。销路的扩充并不意味着品质的降低，一得阁墨汁店坚持纯手工制造，墨质细腻、质量稳定，成为北方市场上一个重要生产力量。",魏光耀，1979年3月出生，男，一得阁墨汁制作技艺第四代传承人。,Success
刀剑锻制技艺（七台河刀剑锻制技艺）,,,,Failed
万安罗盘制作技艺,,,,Failed
烟火爆竹制作技艺（万载花炮制作技艺）,"烟火爆竹制作技艺（万载花炮制作技艺），流传于中国江西省宜春市万载县的传统技艺，国家级非物质文化遗产之一。

万载花炮制作原料主要有万载县仙源、官元山、茭湖、赤兴等山区生产的表芯纸，火药为硝酸钾、杉木炭和硫磺的混合物，其中硝酸钾是用万载县本地原料通过传统技术制作而成。整个制作过程有70多道工序，基本可概括为纸筒制作、火药（硝）料制作、引线制作、花炮成品制作四大工序。

2008年6月7日，烟火爆竹制作技艺（万载花炮制作技艺）经中华人民共和国国务院批准被列入第二批国家级非物质文化遗产代表性项目，遗产编号为Ⅷ-86。","据《万载县志》记载：在清道光年间，万载烟花爆竹已是“通行南北，商贾络绎”；清光绪年间，“男妇大小均借此以资工作，有大小二种，出在城内到株潭等处，虽产品单一，但质高价廉，销广东、福建等省。 

清末民初，万载的烟花爆竹生产庄已经有400余个，从业人员已逾3000人，形成产、供、销一条龙的产业体系，已经逐步与湖南的浏阳、广东的东莞、广西的北海等地形成中国国内烟花爆竹生产的集中区。 

解放前，万载县当地所有的烟花爆竹生产都是家庭手工作坊式的，有一个固定的名字叫‘庄’，但生产方式的粗放、品种的单一、信息的闭塞、交通的阻碍，使得万载烟花产业发展缓慢。中华人民共和国解放前夕，万载花炮濒临泯灭，全县无一生产工厂，全靠单家独户自发生产，生产量较低。 

中华人民共和国成立后，万载县人民政府开始着手扶持烟花爆竹业，一方面发放贷款，另一方面又调整烟花爆竹税率，该产业进入一个全新的发展阶段。1956年，万载烟花爆竹业经过社会主义改造，开始组建烟花爆竹合作社（后来发展成为花炮专业厂），开始分工种、按工序组织生产，实现了从个体作坊经济到集体经济的转化。 

1972年初，株潭出口花炮厂技工黄秉才等人，组成烟花研制小组，对引进的品种进行拆解、研究，先后研制出“大火箭”“熊猫”“花篮”等形式多样的烟花品种。其中，“熊猫”烟花随着当时美国总统尼克松访华而出口美国；“花篮”烟花，1974年被选为江西省外贸出口烟花的注册商标，结束了江西省出口烟花爆竹依赖湖南“红灯”商标的历史。1979年，万载花炮出口外销，打进国际市场。 

20世纪80年代，万载花炮的从业人员已多达10多万人，花炮生产进入鼎盛时期，全县大小花炮生产厂家星罗棋布，生产主要集中于万载县城以西的潭埠、株潭、黄茅等乡镇。万载县此前逐步形成的“手工联社”式的烟花爆竹产业模式，已经基本蜕变成管理集中、生产统一、分工明确、所有制多元化的“乡镇企业”发展模式。1985年，花炮展销会，万载就接受订货29.84万箱，产品销往北京、上海、湖北、广东等27个省、市、自治区以及美、德、日、荷等40多个国家和地区。 

自2005年开始，万载县547家花炮企业共投入1.6亿多资金对花炮企业进行硬件建设，成立了花炮销售、运输、燃放等集团公司200多家，从业人员占万载全县人口的三分之一，实现了企业化、集团化、产业化、规范化、标准化生产，产品远销欧、美和东南亚等40多个国家和地区，年出口创汇达数千万美元。",截至2021年1月，万载花炮制作技艺的传承人有两位，如下所示。,Success
上海本帮菜肴传统烹饪技艺,,,,Failed
梨膏糖制作技艺（上海梨膏糖制作技艺）,"梨膏糖制作技艺（上海梨膏糖制作技艺），上海市黄浦区传统技艺，国家级非物质文化遗产之一。

相传，梨膏糖起源于唐朝，在上海已有一百六十多年的制作历史，始于上海老城厢；上海老城隍庙梨膏糖的配方以药食同源为根基，取百草之精髓，是纯白砂糖（不含饴糖、香精、色素）与梨膏、苦杏仁、川贝母、枇杷叶、紫菀、前胡、制半夏、款冬花等十四种中药熬制而成。

2021年5月24日，上海市黄浦区申报的梨膏糖制作技艺（上海梨膏糖制作技艺）经中华人民共和国国务院批准列入第五批国家级非物质文化遗产代表性项目名录，遗产编号Ⅷ-275。","相传，梨膏糖起源于唐朝。

唐贞观年间，明相魏征之母常咳嗽气喘，但又怕苦，不肯服药，最终病情加重，略懂医道的魏征便用母亲素喜食的梨作汁加糖配以杏仁、川贝等草药熬制成膏给母亲服用，不久即痊愈。

梨膏糖的制作在上海已有一百六十多年的历史，始于上海老城厢。

清咸丰五年（1855年），上海梨膏糖制作技艺的第一代掌门人朱老太在上海老城隍庙创办首家梨膏糖店铺“朱品斋”。 

清光绪八年（1882年），有一个商人在上海老城隍庙西首晴雪坊开设了一家梨膏糖店，店名为“永生堂”。

清光绪三十年（1904年），又有人在上海城隍庙北豫园门口开设了一家叫“德甡堂”的梨膏糖店。

1956年，三家小铺子合并成一家，正式定名为“上海梨膏糖食品厂”。 

1961年，上海梨膏糖食品厂成立。 

随着时代的发展，人们对食品安全的重视程度越来越高，似药又不是药的药梨膏由于其中掺杂的中药成分与《食品安全法》中的规定相悖，一时间处于消亡的边缘。

2011年12月，上海梨膏糖厂获得含药类梨膏糖（药梨膏）的生产许可证。",吴生忠，男，上海梨膏糖制作技艺第三代传承人，于1982年18岁时进入上海梨膏糖厂，师从曹海荣学习梨膏糖制作流程，于2020年获颁“上海工匠”铜章，现任上海梨膏糖食品厂联席厂长。,Success
民族乐器制作技艺（上海民族乐器制作技艺）,民族乐器制作技艺（上海民族乐器制作技艺），上海市闵行区传统技艺，国家级非物质文化遗产之一。,上海的民族乐器制作技艺可追溯到清代乾隆、嘉庆年间。20世纪初，城隍庙大街（今方浜中路）、五马路（今广东路）、六马路（现北海路）一带集聚了几十家乐器作坊。1956年，上海民族乐器业全行业实行合作化，其中86家民族乐器制作坊合并成为上海民族乐器合作社。1958年7月，合作社组建为集体所有制的上海民族乐器一厂。,,Success
青铜器修复及复制技艺（上海青铜器修复技艺）,,,,Failed
印泥制作技艺（上海鲁庵印泥）,,,,Failed
黑茶制作技艺（下关沱茶制作技艺）,"黑茶制作技艺（下关沱茶制作技艺），云南省大理白族自治州传统技艺，国家级非物质文化遗产之一。

云南下关地处大理白族自治州大理市。整个云南地区空气湿润，四季温和，日照时间长，适于茶叶生长。沱茶历史悠久，明代谢肇淛的《滇略》一书有“士庶所用，皆普茶也，蒸而团之”的记载，为沱茶的早期形式。下关沱茶是白族人民创造的十分典型的传统技艺，以云南大叶种晒青茶作为基本原料，经拼配、筛分、拣剔、半制品拼配、称量、蒸揉、压制成型、干燥、包装等十余道工艺制作而成，多为手工操作，蕴含着丰富的具有地区特征的技术知识。

2011年5月23日，黑茶制作技艺（下关沱茶制作技艺）经中华人民共和国国务院批准列入第三批国家级非物质文化遗产名录，项目编号Ⅷ-152。","下关沱茶的制作技艺可追溯到1902年大理喜洲商帮永昌祥商号在下关开办的茶厂。于抗战时期在今下关茶厂位置上建立的以销往藏区为主的康藏茶厂是下关茶厂的前身，1950年正式成立云南省下关茶厂。 

20世纪70年代，下关茶厂作为全国茶叶生产企业中的知名厂家，多次应邀参加广州出口商品交易会。而于1974年研制成功的普洱茶，通过云南省茶叶进出口公司以中茶牌云南普洱茶出口到建交后的法国，并以其外形呈碗状及松紧适度、汤色红浓透亮、香味独特而受到法国人的欢迎。1979年，香港天生茶叶有限公司派人到下关茶厂参观并洽谈沱茶出口业务，确定由法国茶商费锐德▪甘普尔作为下关茶厂生产的云南沱茶在法国和欧洲的总代理商。为了让法国消费者了解普洱茶这种东方的神奇饮品的价值，扩大普洱茶的市场，甘普尔主持了一项由巴黎大学营养生理学实验室承担的对普洱茶药理作用的试验，证明云南沱茶中有一种或数种不详物质在水中溶解后有促进新陈代谢、平衡和节制胆固醇的作用，因此普洱茶受到了法国人的喜爱，被誉为“减肥茶”“益寿茶”。此后，云南普洱茶在德国、意大利、西班牙等欧洲国家风靡一时。为进一步提升普洱茶的质量，巩固法国和欧洲市场。20世纪70年代末期，下关茶厂组建了普洱茶研究“三结合”攻关小组，科研项目获得了当年下关市政府颁发的科技成果一等奖。 

20世纪80年代初，下关茶厂的沱茶研制小组还亲自到法国与经销商进行沟通，听取法国消费者的意见建议并加以改进，而法国经销商甘普尔先生及专广研究普洱茶药理作用的医学博士裴伦先生也先后到下关茶厂进行实地考察，了解普洱茶的发酵及制作过程，对进口普洱茶的质量和数量等提出具体要求，希望进一步扩大贸易。",,Success
毛纺织及擀制技艺（东乡族擀毡技艺）,"毛纺织及擀制技艺（东乡族擀毡技艺），流传于临夏回族自治州东乡族自治县传统技艺，国家级非物质文化遗产之一。

东乡族擀毡技艺，相传是东乡先民“撒尔塔”人于元代至元年间（1264年—1294年）从中亚传入。由于自然条件和社会制度的制约，一直以来没有得到大的发展，直到民国时期，东乡族擀毡工艺才得到长足发展。东乡毛毡以制作用料以羊毛为主。以柔软、舒适、匀称、洁净、美观大方、经久耐用而驰誉西北各地。

2008年6月14日，毛纺织及擀制技艺（东乡族擀毡技艺）经国务院批准列入第二批国家级非物质文化遗产名录。项目编号为Ⅷ-101。",东乡族自治县位于甘肃省中部西南，擀毡是东乡族家庭必备的炕上用品。早在元代至元年间，东乡境内已出现了擀毡工艺，它是由东乡族先民撒尔塔人从中亚传入的。历史上这一技艺在整个自治县境内均有流传，而以龙泉、董岭等乡最为突出。,马舍勒，男，1944年5月出生，甘肃省东乡族自治县人，第三批国家级非物质文化遗产项目代表性传承人，项目名称为毛纺织及擀制技艺（东乡族擀毡技艺），申报地区为甘肃省东乡族自治县。,Success
牛羊肉烹制技艺（东来顺涮羊肉制作技艺）,,,,Failed
婺州传统民居营造技艺（东阳卢宅营造技艺）,,,,Failed
严东关五加皮酿酒技艺,,,,Failed
传统面食制作技艺（中宁蒿子面制作技艺）,"传统面食制作技艺（中宁蒿子面制作技艺），宁夏回族自治区中卫市中宁县传统技艺，国家级非物质文化遗产之一。

2021年5月24日，传统面食制作技艺（中宁蒿子面制作技艺）经中华人民共和国国务院批准列入第五批国家级非物质文化遗产名录，项目编号是Ⅷ-160。",蒿子面的主要原料为不含添加剂的高精面粉、蒿面子、碱水。蒿子选用半沙漠地貌中生长的野生草药，秋季成熟结籽后摘来晒干，筛选后磨成粉，配合碱水、高精面粉制成的面条色泽金黄、口感爽滑。生活在城里的人可以在集市上买到成品蒿面子。面粉选用中宁本地小麦磨制，碱水提前熬制，加入两种面粉中，使得蒿子面色泽金黄、面条劲道。,于振玲，女，1968年出生，汉族，宁夏中卫市中宁县人。第四批自治区级非物质文化遗产项目（传统技艺中宁蒿子面）代表性传承人。,Success
中餐烹饪技艺与食俗,"中餐烹饪技艺与食俗，国家级非物质文化遗产之一。

2021年5月24日，中餐烹饪技艺与食俗经中华人民共和国国务院批准列入第五批国家级非物质文化遗产名录，项目编号Ⅷ-269。","保护措施

2023年10月31日，《国家级非物质文化遗产代表性项目保护单位名单》公布，中餐烹饪技艺与食俗项目保护单位中国烹饪协会评估合格。",,Success
